"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2011","MIL","2292","6113","185","721","693","94","7.9%","17.7%",".164",".293",".261",".325",".425",".327","","103","0.3","20.6","82.0","30.5"
"2011","ARI","2230","6096","172","731","702","133","8.7%","20.5%",".163",".294",".250",".322",".413",".322","","97","9.0","-14.8","117.8","30.5"
"2014","LAA","2468","6284","155","773","729","81","7.8%","20.1%",".147",".305",".259",".322",".406",".321","","110","1.3","67.3","11.5","30.4"
"2017","LAD","2464","6191","221","770","730","77","10.5%","22.3%",".188",".293",".249",".334",".437",".330","","104","5.8","40.7","54.3","30.3"
"2018","OAK","2403","6255","227","813","778","35","8.8%","22.1%",".187",".294",".252",".325",".439",".329","","112","-5.8","83.2","-1.2","30.3"
"2008","CHC","2345","6384","184","855","811","87","10.0%","18.6%",".165",".321",".278",".354",".443",".349","","104","6.1","33.2","64.1","30.1"
"2010","MIL","2262","6304","182","750","710","81","8.7%","19.3%",".161",".304",".262",".335",".424",".334","","104","0.6","32.4","66.3","30.0"
"2018","NYY","2269","6271","267","851","821","63","10.0%","22.7%",".202",".285",".249",".329",".451",".335","","112","14.6","102.8","-25.0","29.9"
"2021","TOR","2383","6070","262","846","816","81","8.2%","20.1%",".200",".296",".266",".330",".466",".340","","112","2.8","95.1","-4.6","29.8"
"2011","STL","2403","6242","162","762","726","57","8.7%","15.7%",".151",".305",".273",".341",".425",".334","","112","-16.5","72.3","17.6","29.6"
"2022","HOU","2279","6054","214","737","715","83","8.7%","19.5%",".176",".278",".248",".319",".424",".324","","112","-8.9","75.0","13.2","29.5"
"2015","SFG","2342","6153","136","696","663","93","7.4%","18.8%",".139",".313",".267",".326",".406",".318","","104","-0.4","25.5","62.0","29.5"
"2011","CIN","2358","6329","183","735","697","97","8.5%","19.8%",".152",".297",".256",".326",".408",".322","","99","8.7","3.6","81.9","29.4"
"2008","TBR","2299","6312","180","774","735","142","9.9%","19.4%",".162",".302",".260",".340",".422",".335","","105","5.6","43.8","30.3","29.2"
"2009","LAA","2246","6305","173","883","841","148","8.7%","16.7%",".156",".322",".285",".350",".441",".346","","108","8.6","75.5","-5.4","29.1"
"2015","LAD","2379","6090","187","667","638","59","9.2%","20.7%",".163",".292",".250",".326",".413",".322","","106","-15.3","28.2","57.3","29.0"
"2021","LAD","2459","6239","237","830","799","65","9.8%","22.6%",".185",".284",".244",".330",".429",".327","","105","9.3","48.9","31.2","29.0"
"2012","SFG","2384","6200","103","718","675","118","7.8%","17.7%",".128",".315",".269",".327",".397",".314","","101","13.0","22.4","66.7","29.0"
"2008","NYM","2405","6388","172","799","751","138","9.7%","16.0%",".154",".296",".266",".340",".420",".332","","100","12.7","13.4","72.0","28.9"
"2022","ATL","2259","6082","243","789","753","87","7.7%","24.6%",".190",".303",".253",".317",".443",".330","","111","9.7","85.0","-14.7","28.9"
"2017","CLE","2367","6234","212","818","780","88","9.7%","18.5%",".186",".295",".263",".339",".449",".336","","105","11.1","48.8","32.6","28.8"
"2017","NYY","2294","6354","241","858","821","90","9.7%","21.8%",".185",".304",".262",".339",".447",".336","","109","11.1","82.3","-5.9","28.7"
"2012","STL","2391","6326","159","765","732","91","8.4%","18.8%",".150",".316",".271",".338",".421",".329","","106","-1.6","46.5","33.9","28.5"
"2018","MIL","2496","6210","218","754","711","124","8.6%","23.5%",".172",".302",".252",".323",".424",".322","","100","8.2","7.7","77.1","28.5"
"2019","WSN","2327","6267","231","873","824","116","9.3%","20.9%",".190",".306",".265",".342",".454",".336","","104","3.7","34.7","57.9","28.4"
"2017","MIN","2324","6261","206","815","781","95","9.5%","21.4%",".174",".306",".260",".334",".434",".329","","103","14.4","39.7","35.7","28.3"
"2012","MIL","2415","6224","202","776","741","158","7.5%","19.9%",".177",".299",".259",".325",".437",".329","","102","12.1","29.5","52.2","28.3"
"2013","TBR","2423","6242","165","700","670","73","9.4%","18.8%",".151",".295",".257",".329",".408",".324","","107","2.5","50.1","9.2","28.2"
"2019","BOS","2455","6475","245","901","857","68","9.1%","21.3%",".197",".313",".269",".340",".466",".338","","106","-7.0","41.7","12.1","27.9"
"2010","MIN","2290","6257","142","781","749","68","8.9%","15.5%",".148",".306",".273",".341",".422",".335","","106","-15.8","29.5","17.9","27.8"
"2011","TBR","2284","6152","172","707","674","155","9.3%","19.4%",".159",".281",".244",".322",".402",".319","","103","10.4","35.1","23.1","27.7"
"2013","DET","2274","6388","176","796","767","35","8.3%","16.8%",".151",".320",".283",".346",".434",".341","","114","-19.0","83.7","-35.3","27.6"
"2019","ATL","2411","6302","249","855","824","89","9.8%","23.3%",".195",".305",".258",".336",".452",".332","","101","11.0","18.3","64.4","27.6"
"2009","LAD","2352","6385","145","780","739","116","9.5%","16.7%",".141",".309",".270",".346",".412",".332","","102","4.0","18.7","55.4","27.4"
"2014","BAL","2294","6130","211","705","681","44","6.5%","21.0%",".166",".296",".256",".311",".422",".323","","104","-6.2","21.9","34.4","27.4"
"2012","ATL","2264","6126","149","700","660","101","9.3%","21.0%",".142",".296",".247",".320",".389",".310","","92","7.2","-48.9","123.8","27.3"
"2013","SFG","2396","6168","107","629","596","67","7.6%","17.5%",".121",".304",".260",".320",".381",".309","","100","-4.1","-1.7","66.3","26.9"
"2018","CHC","2490","6369","167","761","722","66","9.0%","21.8%",".152",".313",".258",".333",".410",".321","","100","2.2","3.4","58.8","26.7"
"2017","CHC","2420","6283","223","822","785","62","9.9%","22.3%",".182",".302",".255",".338",".437",".331","","101","-6.8","4.8","47.5","26.4"
"2019","OAK","2363","6269","257","845","800","49","9.2%","21.3%",".199",".282",".249",".327",".448",".327","","107","-1.7","55.3","-10.4","26.3"
"2018","CLE","2413","6300","216","818","786","135","8.8%","18.9%",".176",".291",".259",".332",".434",".330","","106","13.7","55.1","-12.7","26.3"
"2014","WSN","2265","6216","152","686","635","101","8.3%","21.0%",".140",".303",".253",".321",".393",".317","","99","15.3","8.4","42.4","26.2"
"2013","STL","2341","6202","125","783","745","45","7.8%","17.9%",".133",".314",".269",".332",".401",".322","","104","-9.1","21.0","35.0","26.1"
"2015","HOU","2333","6073","230","729","691","121","8.0%","22.9%",".187",".292",".250",".315",".437",".325","","108","8.1","66.8","-19.6","26.1"
"2019","TBR","2459","6285","217","769","730","94","8.6%","23.8%",".178",".306",".254",".325",".431",".321","","104","8.4","40.6","0.5","26.0"
"2010","SFG","2354","6143","162","697","660","55","7.9%","17.9%",".151",".293",".257",".321",".408",".320","","98","-18.3","-31.6","95.2","25.8"
"2017","STL","2416","6219","196","761","728","81","9.5%","21.7%",".170",".304",".256",".334",".426",".326","","101","2.0","8.4","40.0","25.8"
"2013","BAL","2246","6144","212","745","719","79","6.8%","18.3%",".171",".288",".260",".313",".431",".323","","101","13.8","16.4","22.7","25.7"
"2013","ATL","2293","6133","181","688","656","64","8.8%","22.6%",".153",".300",".249",".321",".402",".318","","102","-5.7","3.8","50.1","25.6"
"2019","CHC","2429","6195","256","814","783","45","9.4%","23.6%",".200",".297",".252",".331",".452",".330","","100","-2.2","0.6","65.3","25.6"
"2021","STL","2384","6001","198","706","678","89","8.0%","22.3%",".168",".287",".244",".313",".412",".312","","97","11.7","-13.4","66.8","25.6"
"2017","MIA","2399","6248","194","778","743","91","7.8%","20.5%",".163",".313",".267",".331",".431",".325","","101","1.4","9.0","35.9","25.6"
"2013","LAD","2336","6145","138","649","618","78","7.7%","18.6%",".133",".308",".264",".326",".396",".317","","103","-8.0","14.7","37.2","25.5"
"2015","CHC","2406","6200","171","689","657","95","9.1%","24.5%",".154",".305",".244",".321",".398",".313","","96","15.1","-15.8","63.6","25.4"
"2014","SFG","2353","6087","132","665","636","56","7.0%","20.5%",".133",".304",".255",".311",".388",".308","","99","0.5","-5.1","52.8","25.4"
"2013","OAK","2313","6209","186","767","725","74","9.2%","19.0%",".165",".289",".254",".327",".419",".327","","108","10.0","66.2","-32.4","25.4"
"2010","STL","2347","6241","150","736","689","79","8.7%","16.5%",".139",".296",".263",".332",".402",".322","","99","1.8","-6.8","59.6","25.0"
"2018","ATL","2377","6251","175","759","717","90","8.2%","20.6%",".161",".302",".257",".324",".417",".319","","96","12.6","-18.5","67.6","25.0"
"2010","BOS","2327","6356","211","818","782","68","9.2%","17.9%",".183",".299",".268",".339",".451",".345","","109","-7.2","59.7","-43.4","24.9"
"2014","DET","2330","6202","155","757","731","106","7.1%","18.4%",".150",".319",".277",".331",".426",".331","","112","-7.3","73.0","-41.9","24.8"
"2009","MIL","2321","6296","182","785","757","68","9.7%","19.6%",".164",".305",".263",".341",".426",".336","","103","-9.6","10.2","38.9","24.6"
"2008","MIL","2227","6252","198","750","722","108","8.8%","19.2%",".179",".287",".253",".325",".431",".329","","97","8.9","-11.7","58.8","24.6"
"2015","NYM","2325","6145","177","683","654","51","7.9%","21.0%",".156",".287",".244",".312",".400",".309","","98","6.2","-6.8","48.7","24.6"
"2019","NYM","2445","6290","242","791","767","56","8.2%","22.0%",".185",".299",".257",".328",".442",".325","","105","-17.0","24.3","28.1","24.6"
"2016","HOU","2334","6204","198","724","689","102","8.9%","23.4%",".170",".298",".247",".319",".417",".317","","101","-5.4","2.8","25.5","24.6"
"2021","OAK","2353","6104","199","743","698","88","8.9%","22.1%",".168",".278",".238",".317",".406",".313","","103","11.8","34.4","2.7","24.5"
"2016","STL","2400","6223","225","779","745","35","8.5%","21.2%",".187",".294",".255",".325",".443",".329","","105","-17.1","18.9","24.4","24.5"
"2008","ATL","2407","6368","130","753","721","58","9.7%","16.1%",".138",".309",".270",".345",".408",".332","","99","-5.8","-12.5","54.2","24.5"
"2009","BOS","2317","6344","212","872","822","126","10.4%","17.7%",".184",".301",".270",".352",".454",".351","","106","-7.7","40.7","-19.8","24.4"
"2022","MIL","2363","6122","219","725","703","96","9.4%","23.9%",".174",".279",".235",".315",".409",".317","","103","5.6","30.5","-4.7","24.3"
"2016","SFG","2404","6271","130","715","675","79","9.1%","17.7%",".140",".299",".258",".329",".398",".315","","96","-2.8","-34.8","75.1","24.3"
"2009","STL","2358","6168","160","730","694","75","8.6%","16.9%",".152",".296",".263",".332",".415",".325","","98","13.4","-1.6","50.0","24.2"
"2021","ATL","2392","6056","239","790","762","59","9.1%","24.0%",".191",".288",".244",".319",".435",".323","","99","5.4","-6.3","42.8","24.0"
"2015","PIT","2431","6285","140","697","661","98","7.3%","21.0%",".136",".314",".260",".323",".396",".313","","97","3.5","-17.4","49.6","24.0"
"2016","CLE","2366","6155","185","777","733","134","8.6%","20.2%",".168",".304",".262",".329",".430",".326","","100","15.8","14.1","10.1","24.0"
"2008","CLE","2199","6299","171","805","772","77","8.9%","19.3%",".162",".305",".262",".339",".424",".334","","103","0.7","24.6","-2.8","24.0"
"2012","CIN","2211","6115","172","669","636","87","7.9%","20.7%",".159",".296",".251",".315",".411",".314","","93","13.5","-36.0","78.9","23.9"
"2017","SEA","2323","6166","200","750","714","89","7.9%","20.5%",".165",".300",".259",".325",".424",".321","","103","-12.6","7.1","26.9","23.9"
"2016","TOR","2349","6233","221","759","728","54","10.1%","21.9%",".178",".289",".248",".330",".426",".327","","104","-9.0","21.9","-1.8","23.8"
"2011","LAA","2187","6088","155","667","629","135","7.3%","17.8%",".149",".288",".253",".313",".402",".313","","98","-3.8","-14.6","38.0","23.8"
"2010","TOR","2206","6072","257","755","732","58","7.8%","19.2%",".206",".269",".248",".312",".454",".334","","105","-12.3","25.1","-9.9","23.7"
"2012","TBR","2406","6105","175","697","665","134","9.4%","21.7%",".155",".284",".240",".317",".394",".311","","100","-0.7","-1.0","20.8","23.7"
"2018","WSN","2441","6288","191","771","737","119","10.0%","20.5%",".164",".297",".254",".335",".419",".325","","101","8.4","14.5","21.3","23.7"
"2012","WSN","2338","6221","194","731","688","105","7.7%","21.3%",".166",".308",".261",".322",".428",".324","","101","-4.1","4.7","33.0","23.7"
"2010","ATL","2376","6252","139","738","699","63","10.1%","18.2%",".143",".301",".258",".339",".401",".327","","100","-2.1","-2.9","41.9","23.6"
"2019","ARI","2418","6315","220","813","778","88","8.6%","21.5%",".182",".293",".252",".323",".434",".319","","93","18.3","-37.5","79.1","23.6"
"2010","SDP","2352","6148","132","665","630","124","8.8%","19.2%",".125",".290",".246",".317",".371",".304","","92","9.3","-50.2","91.9","23.6"
"2015","STL","2406","6139","137","647","619","69","8.2%","20.6%",".142",".303",".253",".321",".394",".311","","97","0.9","-21.2","53.8","23.6"
"2010","DET","2274","6312","152","751","717","69","8.7%","18.2%",".147",".311",".268",".335",".415",".330","","102","9.7","23.9","-18.7","23.6"
"2019","MIL","2514","6309","250","769","744","101","10.0%","24.8%",".192",".296",".246",".329",".438",".324","","97","5.9","-20.4","61.6","23.6"
"2016","SEA","2371","6227","223","768","735","56","8.1%","20.7%",".171",".297",".259",".326",".430",".325","","108","-13.5","44.6","-27.2","23.6"
"2008","TEX","2281","6478","194","901","867","81","9.2%","18.6%",".179",".325",".283",".354",".462",".355","","112","11.1","108.1","-97.3","23.5"
"2019","CLE","2321","6124","223","769","731","103","9.2%","21.8%",".183",".289",".250",".323",".432",".319","","97","4.3","-16.3","35.9","23.4"
"2012","TEX","2236","6216","200","808","780","91","7.7%","17.7%",".173",".306",".273",".334",".446",".336","","106","-5.8","39.5","-27.3","23.3"
"2008","HOU","2312","6051","167","712","684","114","7.4%","17.4%",".152",".296",".263",".323",".415",".322","","93","0.4","-49.2","89.3","23.3"
"2021","CHW","2292","6084","190","796","757","57","9.6%","22.8%",".166",".310",".256",".336",".422",".329","","108","-0.9","59.7","-35.7","23.1"
"2010","PHI","2277","6291","166","772","736","108","8.9%","16.9%",".153",".292",".260",".332",".413",".327","","99","13.3","5.5","27.4","23.1"
"2011","DET","2309","6231","169","787","750","49","8.4%","18.3%",".157",".318",".277",".340",".434",".337","","109","-15.2","48.5","-36.5","23.1"
"2018","TBR","2371","6195","150","716","664","128","8.7%","22.4%",".148",".317",".258",".333",".406",".322","","107","-0.3","48.7","-34.4","23.1"
"2017","WSN","2322","6214","215","819","796","108","8.7%","21.4%",".183",".311",".266",".332",".449",".331","","99","11.9","2.4","17.6","23.0"
"2022","SEA","2383","6117","197","690","664","83","9.7%","22.8%",".160",".272",".230",".315",".390",".311","","107","-10.0","38.1","-14.3","23.0"
"2013","PIT","2369","6135","161","634","603","94","7.6%","21.7%",".151",".294",".245",".313",".396",".312","","99","1.8","-3.4","30.8","22.8"
"2016","WSN","2302","6201","203","763","735","121","8.6%","20.2%",".170",".293",".256",".326",".426",".322","","96","16.0","-16.4","44.1","22.8"
"2013","MIL","2335","6064","157","640","610","142","6.7%","19.5%",".145",".294",".252",".311",".398",".311","","91","-6.9","-66.0","94.0","22.6"
"2013","CLE","2337","6165","171","745","711","117","9.1%","20.8%",".155",".300",".255",".327",".410",".324","","104","11.5","39.3","-29.5","22.6"
"2017","MIL","2423","6135","224","732","695","128","8.9%","25.6%",".180",".308",".249",".322",".429",".321","","94","2.4","-48.6","67.5","22.6"
"2013","CIN","2286","6293","155","698","664","67","9.3%","19.8%",".142",".293",".249",".327",".391",".316","","96","-2.0","-32.9","52.4","22.5"
"2009","MIN","2315","6346","172","817","770","85","9.2%","16.1%",".155",".306",".274",".345",".429",".338","","104","15.3","42.9","-41.4","22.4"
"2016","PIT","2458","6261","153","729","696","110","9.0%","21.3%",".144",".311",".257",".332",".402",".318","","97","-6.7","-26.5","48.5","22.4"
"2019","STL","2413","6167","210","764","714","116","9.1%","23.0%",".170",".292",".245",".322",".415",".314","","95","14.4","-23.8","57.4","22.4"
"2009","ATL","2335","6335","149","735","700","58","9.5%","16.8%",".142",".300",".263",".339",".405",".327","","97","-20.2","-44.2","67.6","22.2"
"2014","TOR","2397","6167","177","723","690","78","8.1%","18.7%",".155",".295",".259",".323",".414",".325","","107","0.0","44.9","-37.0","22.2"
"2010","TEX","2312","6302","162","787","740","123","8.1%","15.6%",".143",".307",".276",".338",".419",".333","","98","4.5","-7.0","-4.1","21.8"
"2015","KCR","2263","6116","139","724","689","104","6.3%","15.9%",".144",".301",".269",".322",".412",".318","","99","-0.3","-8.3","13.8","21.8"
"2021","BOS","2353","6122","219","829","783","40","8.4%","22.6%",".188",".309",".261",".328",".449",".333","","106","-4.4","39.0","-29.8","21.8"
"2010","ARI","2271","6183","180","713","691","86","9.5%","24.7%",".166",".312",".250",".325",".416",".325","","93","-8.3","-62.7","85.8","21.8"
"2012","ARI","2213","6150","165","734","710","93","8.8%","20.6%",".159",".307",".259",".328",".418",".323","","97","-5.6","-30.7","52.0","21.7"
"2022","CLE","2338","6163","127","698","662","119","7.3%","18.2%",".129",".294",".254",".316",".383",".306","","99","13.2","3.8","6.2","21.7"
"2017","CIN","2321","6213","219","753","715","120","9.1%","21.4%",".179",".294",".253",".329",".433",".325","","95","-5.3","-47.4","54.3","21.7"
"2015","TEX","2358","6187","172","751","707","101","8.1%","19.9%",".156",".300",".257",".325",".413",".321","","98","21.6","4.8","-3.0","21.6"
"2021","NYM","2419","5856","176","636","604","54","8.5%","23.8%",".152",".291",".239",".315",".391",".307","","96","-13.5","-41.7","60.8","21.6"
"2016","NYM","2430","6115","218","671","649","42","8.5%","21.3%",".171",".282",".246",".316",".417",".315","","99","-8.6","-17.7","36.5","21.6"
"2015","ARI","2393","6276","154","720","680","132","7.8%","20.9%",".150",".316",".264",".324",".414",".319","","95","12.5","-23.3","32.6","21.6"
"2012","SDP","2384","6112","121","651","610","155","8.8%","20.3%",".133",".297",".247",".319",".380",".307","","97","13.8","-8.4","29.1","21.6"
"2013","LAA","2311","6260","164","733","696","82","8.4%","19.5%",".150",".307",".264",".329",".414",".325","","109","-9.7","54.8","-58.0","21.6"
"2022","PHI","2327","6077","205","747","719","105","7.9%","22.4%",".169",".299",".253",".317",".422",".322","","106","9.9","50.8","-50.0","21.6"
"2016","LAD","2491","6164","189","725","680","45","8.5%","21.4%",".160",".294",".249",".319",".409",".314","","97","2.0","-20.2","36.9","21.6"
"2018","STL","2464","6200","205","759","725","63","8.5%","22.3%",".160",".294",".249",".321",".409",".316","","99","12.9","7.9","9.4","21.5"
"2016","BAL","2257","6089","253","744","710","19","7.7%","21.7%",".188",".291",".256",".317",".443",".326","","103","2.5","22.6","-20.5","21.5"
"2012","PHI","2294","6172","158","684","659","116","7.4%","17.7%",".144",".290",".255",".317",".400",".311","","93","10.7","-40.8","58.9","21.5"
"2017","ARI","2360","6224","220","812","776","103","9.3%","23.4%",".190",".306",".254",".329",".445",".329","","95","12.4","-27.9","31.7","21.4"
"2022","SDP","2323","6175","153","705","682","49","9.3%","21.5%",".141",".289",".241",".318",".382",".308","","102","3.9","17.7","-22.8","21.3"
"2008","NYY","2330","6257","180","789","758","118","8.6%","16.2%",".156",".302",".271",".342",".427",".338","","104","-6.7","24.3","-28.4","21.3"
"2014","OAK","2358","6245","146","729","686","83","9.4%","17.7%",".137",".278",".244",".320",".381",".312","","102","11.0","27.2","-30.4","21.2"
"2021","MIN","2356","6078","228","729","690","54","8.6%","23.1%",".182",".282",".241",".314",".423",".318","","102","-3.1","14.5","-9.5","21.2"
"2021","SDP","2497","6119","180","729","695","110","9.6%","21.6%",".159",".287",".242",".321",".401",".312","","98","0.7","-17.7","23.1","21.1"
"2022","MIN","2422","6113","178","696","668","38","8.5%","22.1%",".153",".295",".248",".317",".401",".315","","107","-20.7","25.1","-19.0","21.1"
"2016","COL","2369","6236","204","845","805","66","7.9%","21.3%",".182",".326",".275",".336",".457",".339","","94","1.1","-45.0","53.1","20.9"
"2014","MIL","2327","6065","150","650","617","102","7.0%","19.7%",".147",".293",".250",".311",".397",".313","","94","-12.1","-56.2","62.2","20.8"
"2012","CHW","2277","6111","211","748","726","109","7.5%","19.7%",".167",".289",".255",".318",".422",".322","","98","-7.0","-18.2","8.7","20.7"
"2015","NYY","2401","6268","212","764","737","63","8.8%","19.6%",".170",".283",".251",".323",".421",".323","","103","3.0","25.3","-35.3","20.7"
"2012","DET","2248","6119","163","726","698","59","8.4%","18.0%",".154",".307",".268",".335",".422",".328","","105","-17.8","15.4","-27.2","20.5"
"2017","TBR","2345","6147","228","694","671","88","8.9%","25.0%",".178",".296",".245",".317",".422",".316","","99","11.2","1.1","-2.0","20.4"
"2010","OAK","2255","6117","109","663","619","156","8.6%","17.3%",".122",".297",".256",".324",".378",".313","","95","17.8","-20.6","1.0","20.3"
"2014","TBR","2352","6205","117","612","586","63","8.5%","18.1%",".120",".287",".247",".317",".367",".305","","97","1.0","-19.9","9.5","20.3"
"2017","NYM","2396","6169","224","735","713","58","8.6%","20.9%",".184",".286",".250",".320",".434",".322","","101","-11.3","-7.2","1.1","20.2"
"2012","BOS","2317","6166","165","734","695","97","6.9%","19.4%",".155",".301",".260",".315",".415",".316","","95","2.6","-37.1","20.0","20.1"
"2018","LAA","2467","6108","214","721","690","89","8.4%","21.3%",".171",".277",".242",".313",".413",".313","","98","2.8","-13.8","1.7","20.1"
"2021","WSN","2386","6113","182","724","686","56","9.4%","21.3%",".159",".307",".258",".337",".417",".326","","101","-25.4","-15.3","8.8","19.9"
"2016","DET","2295","6127","211","750","719","58","8.0%","21.3%",".171",".312",".267",".331",".438",".330","","106","-16.9","27.0","-41.7","19.9"
"2022","TBR","2403","6008","139","666","634","95","8.3%","23.2%",".138",".295",".239",".309",".377",".302","","101","4.0","12.9","-15.4","19.8"
"2022","ARI","2407","6027","173","702","658","104","8.8%","22.2%",".155",".272",".230",".304",".385",".303","","92","25.4","-27.5","13.1","19.8"
"2011","KCR","2134","6267","129","730","705","153","7.1%","16.1%",".140",".311",".275",".329",".415",".325","","101","0.7","4.5","-25.3","19.8"
"2016","MIA","2460","6133","128","655","626","71","7.3%","19.8%",".131",".314",".263",".322",".394",".309","","95","2.4","-40.1","40.0","19.7"
"2013","TEX","2321","6196","176","730","691","149","7.5%","17.2%",".150",".294",".262",".323",".412",".323","","97","2.0","-22.5","3.9","19.7"
"2015","TBR","2479","6071","167","644","612","87","7.2%","21.6%",".154",".300",".252",".314",".406",".313","","100","-13.4","-16.2","2.5","19.6"
"2011","LAD","2304","6094","117","644","613","126","8.2%","17.8%",".118",".299",".257",".322",".375",".307","","95","10.2","-24.6","24.3","19.6"
"2009","CIN","2314","6187","158","673","637","96","8.6%","18.2%",".147",".282",".247",".318",".394",".313","","84","5.2","-118.5","119.4","19.5"
"2009","TOR","2202","6362","209","798","766","73","8.6%","16.2%",".174",".290",".266",".333",".440",".337","","101","12.2","21.5","-50.0","19.5"
