Year,Team,TeamsByYear,GamesWon,GamesPlayed,Win_Per
2013,PIT,2013PIT,94,163,0.58
2013,SDP,2013SDP,76,163,0.47
2013,SEA,2013SEA,76,163,0.47
2013,SFG,2013SFG,71,163,0.44
2013,STL,2013STL,97,163,0.60
2013,TBR,2013TBR,92,163,0.56
2013,TEX,2013TEX,91,163,0.56
2013,TOR,2013TOR,74,163,0.45
2013,WSN,2013WSN,86,163,0.53
2012,ARI,2012ARI,81,162,0.50
2012,ATL,2012ATL,94,162,0.58
2012,BAL,2012BAL,93,162,0.57
2012,BOS,2012BOS,69,162,0.43
2012,CHC,2012CHC,61,162,0.38
2012,CHW,2012CHW,85,162,0.52
2012,CIN,2012CIN,97,162,0.60
2012,CLE,2012CLE,68,162,0.42
2012,COL,2012COL,64,162,0.40
2012,DET,2012DET,88,162,0.54
2012,HOU,2012HOU,55,162,0.34
2012,KCR,2012KCR,72,162,0.44
2012,LAA,2012LAA,89,162,0.55
2012,LAD,2012LAD,86,162,0.53
2012,MIA,2012MIA,69,162,0.43
2012,MIL,2012MIL,83,162,0.51
2012,MIN,2012MIN,66,162,0.41
2012,NYM,2012NYM,74,162,0.46
2012,NYY,2012NYY,95,162,0.59
2012,OAK,2012OAK,94,162,0.58
2012,PHI,2012PHI,81,162,0.50
2012,PIT,2012PIT,79,162,0.49
2012,SDP,2012SDP,76,162,0.47
2012,SEA,2012SEA,94,162,0.58
2012,SFG,2012SFG,75,162,0.46
2012,STL,2012STL,88,162,0.54
2012,TBR,2012TBR,90,162,0.56
2012,TEX,2012TEX,93,162,0.57
2012,TOR,2012TOR,73,162,0.45
2012,WSN,2012WSN,98,162,0.60
2011,ARI,2011ARI,94,162,0.58
2011,ATL,2011ATL,89,162,0.55
2011,BAL,2011BAL,69,162,0.43
2011,BOS,2011BOS,90,162,0.56
2011,CHC,2011CHC,71,162,0.44
2011,CHW,2011CHW,79,162,0.49
2011,CIN,2011CIN,79,162,0.49
2011,CLE,2011CLE,80,162,0.49
2011,COL,2011COL,73,162,0.45
2011,DET,2011DET,95,162,0.59
2011,HOU,2011HOU,56,162,0.35
2011,KCR,2011KCR,71,162,0.44
2011,LAA,2011LAA,86,162,0.53
2011,LAD,2011LAD,82,162,0.51
2011,MIA,2011MIA,72,162,0.44
2011,MIL,2011MIL,96,162,0.59
2011,MIN,2011MIN,63,162,0.39
2011,NYM,2011NYM,77,162,0.48
2011,NYY,2011NYY,97,162,0.60
2011,OAK,2011OAK,74,162,0.46
2011,PHI,2011PHI,102,162,0.63
2011,PIT,2011PIT,72,162,0.44
2011,SDP,2011SDP,71,162,0.44
2011,SEA,2011SEA,86,162,0.53
2011,SFG,2011SFG,67,162,0.41
2011,STL,2011STL,90,162,0.56
2011,TBR,2011TBR,91,162,0.56
2011,TEX,2011TEX,96,162,0.59
2011,TOR,2011TOR,81,162,0.50
2011,WSN,2011WSN,80,162,0.49
2010,ARI,2010ARI,65,162,0.40
2010,ATL,2010ATL,91,162,0.56
2010,BAL,2010BAL,66,162,0.41
2010,BOS,2010BOS,89,162,0.55
2010,CHC,2010CHC,75,162,0.46
2010,CHW,2010CHW,88,162,0.54
2010,CIN,2010CIN,91,162,0.56
2010,CLE,2010CLE,69,162,0.43
2010,COL,2010COL,83,162,0.51
2010,DET,2010DET,81,162,0.50
2010,HOU,2010HOU,76,162,0.47
2010,KCR,2010KCR,67,162,0.41
2010,LAA,2010LAA,80,162,0.49
2010,LAD,2010LAD,80,162,0.49
2010,MIA,2010MIA,80,162,0.49
2010,MIL,2010MIL,77,162,0.48
2010,MIN,2010MIN,94,162,0.58
2010,NYM,2010NYM,79,162,0.49
2010,NYY,2010NYY,95,162,0.59
2010,OAK,2010OAK,81,162,0.50
2010,PHI,2010PHI,97,162,0.60
2010,PIT,2010PIT,57,162,0.35
2010,SDP,2010SDP,90,162,0.56
2010,SEA,2010SEA,92,162,0.57
2010,SFG,2010SFG,61,162,0.38
2010,STL,2010STL,86,162,0.53
2010,TBR,2010TBR,96,162,0.59
2010,TEX,2010TEX,90,162,0.56
2010,TOR,2010TOR,85,162,0.52
2010,WSN,2010WSN,69,162,0.43
2009,ARI,2009ARI,70,163,0.43
2009,ATL,2009ATL,86,163,0.53
2009,BAL,2009BAL,64,163,0.39
2009,BOS,2009BOS,95,163,0.58
2009,CHC,2009CHC,83,163,0.51
2009,CHW,2009CHW,79,163,0.48
2009,CIN,2009CIN,78,163,0.48
2009,CLE,2009CLE,65,163,0.40
2009,COL,2009COL,92,163,0.56
2009,DET,2009DET,86,163,0.53
2009,HOU,2009HOU,74,163,0.45
2009,KCR,2009KCR,65,163,0.40
2009,LAA,2009LAA,97,163,0.60
2009,LAD,2009LAD,95,163,0.58
2009,MIA,2009MIA,87,163,0.53
2009,MIL,2009MIL,80,163,0.49
2009,MIN,2009MIN,87,163,0.53
2009,NYM,2009NYM,70,163,0.43
2009,NYY,2009NYY,103,163,0.63
2009,OAK,2009OAK,75,163,0.46
2009,PHI,2009PHI,93,163,0.57
2009,PIT,2009PIT,62,163,0.38
2009,SDP,2009SDP,75,163,0.46
2009,SEA,2009SEA,88,163,0.54
2009,SFG,2009SFG,85,163,0.52
2009,STL,2009STL,91,163,0.56
2009,TBR,2009TBR,84,163,0.52
2009,TEX,2009TEX,87,163,0.53
2009,TOR,2009TOR,75,163,0.46
2009,WSN,2009WSN,59,163,0.36
2008,ARI,2008ARI,82,163,0.50
2008,ATL,2008ATL,72,163,0.44
2008,BAL,2008BAL,68,163,0.42
2008,BOS,2008BOS,95,163,0.58
2008,CHC,2008CHC,97,163,0.60
2008,CHW,2008CHW,89,163,0.55
2008,CIN,2008CIN,74,163,0.45
2008,CLE,2008CLE,81,163,0.50
2008,COL,2008COL,74,163,0.45
2008,DET,2008DET,74,163,0.45
2008,HOU,2008HOU,86,163,0.53
2008,KCR,2008KCR,75,163,0.46
2008,LAA,2008LAA,100,163,0.61
2008,LAD,2008LAD,84,163,0.52
2008,MIA,2008MIA,84,163,0.52
2008,MIL,2008MIL,90,163,0.55
2008,MIN,2008MIN,88,163,0.54
2008,NYM,2008NYM,89,163,0.55
2008,NYY,2008NYY,89,163,0.55
2008,OAK,2008OAK,75,163,0.46
2008,PHI,2008PHI,92,163,0.56
2008,PIT,2008PIT,67,163,0.41
2008,SDP,2008SDP,63,163,0.39
2008,SEA,2008SEA,72,163,0.44
2008,SFG,2008SFG,61,163,0.37
2008,STL,2008STL,86,163,0.53
2008,TBR,2008TBR,97,163,0.60
2008,TEX,2008TEX,79,163,0.48
2008,TOR,2008TOR,86,163,0.53
2008,WSN,2008WSN,59,163,0.36
